record_id,filing_status,age,state,gross_income,investment_income,business_income,total_deductions,retirement_contributions,dependents,taxable_income,tax_liability,effective_tax_rate,is_anomaly
REC00000,Single,32,GA,37138.91,1319.18,0.0,8363.22,4028.65,3,17194.87,1831.38,0.0493,0
REC00001,HeadOfHousehold,48,WA,8846.32,239.12,0.0,11390.34,3707.8,1,2785.44,278.54,0.0315,1
REC00002,MarriedJointly,29,PA,43054.56,14519.28,19024.49,7211.98,2252.41,1,65086.35,9372.0,0.2177,0
REC00003,MarriedJointly,66,FL,124340.49,0.0,0.0,37073.1,4901.71,0,87267.39,14251.83,0.1146,0
REC00004,Single,52,TX,92051.54,0.0,0.0,8700.96,5000.45,3,70450.58,10552.13,0.1146,0
REC00005,Single,48,NY,84334.73,0.0,0.0,15209.93,2866.95,1,64824.8,9314.46,0.1104,0
REC00006,Single,65,WA,47858.56,9067.7,0.0,15784.71,6998.87,1,36841.55,4188.99,0.0875,0
REC00007,MarriedSeparately,62,CA,21520.8,140.1,0.0,4330.69,0.0,3,4430.21,443.02,0.0206,0
REC00008,MarriedJointly,68,FL,90421.33,0.0,0.0,24191.33,9967.06,3,53330.0,6785.6,0.075,0
REC00009,MarriedJointly,26,FL,30717.09,755.77,0.0,9155.53,5772.82,0,22317.33,2446.08,0.0796,0
REC00010,Single,36,TX,343615.09,10882.59,0.0,38186.74,6360.87,3,303410.94,76568.58,0.2228,0
REC00011,HeadOfHousehold,23,GA,94504.79,6542.46,13592.86,10912.01,10347.5,2,95128.1,15981.18,0.1691,0
REC00012,MarriedSeparately,36,IL,37627.16,899.64,0.0,10444.45,9486.98,0,28082.35,3137.88,0.0834,0
REC00013,Single,52,GA,36713.21,4171.46,0.0,10132.55,5480.38,0,30752.12,3458.25,0.0942,0
REC00014,Single,41,IL,55583.66,0.0,0.0,3782.75,9807.16,0,51800.91,6449.2,0.116,0
REC00015,Single,24,TX,49434.23,0.0,0.0,7254.45,14195.58,1,37879.78,4313.57,0.0873,0
REC00016,Single,63,CA,146307.67,0.0,0.0,24807.89,3951.27,2,112899.78,20138.45,0.1376,0
REC00017,MarriedJointly,60,FL,69503.54,0.0,0.0,20761.55,11015.1,0,48741.99,5776.24,0.0831,0
REC00018,Single,31,CA,33346.05,0.0,0.0,5887.53,3547.58,2,18858.52,2031.02,0.0609,0
REC00019,Single,47,OH,271672.49,930.97,2518.67,80000.0,12701.7,2,186522.13,37807.81,0.1392,0
REC00020,MarriedJointly,31,CA,62283.18,2414.96,0.0,21735.73,5152.29,1,38662.41,4407.49,0.0708,0
REC00021,Single,61,WA,110754.55,10263.68,0.0,31478.42,4999.51,3,76639.81,11913.76,0.1076,0
REC00022,Single,34,GA,36806.1,0.0,0.0,9198.43,12596.84,2,19007.67,2048.92,0.0557,0
REC00023,Single,42,CA,80056.87,0.0,0.0,13415.06,10886.3,0,66641.81,9714.2,0.1213,0
REC00024,MarriedJointly,55,FL,76794.48,0.0,6123.49,5384.2,5283.63,2,68933.77,10218.43,0.1331,0
REC00025,MarriedJointly,65,OH,13204.07,0.0,0.0,2930.53,8509.47,3,0.0,0.0,0.0,0
REC00026,Single,53,OH,300204.77,0.0,0.0,47585.9,5160.19,0,252618.87,58791.35,0.1958,0
REC00027,MarriedJointly,30,CA,168133.83,0.0,0.0,26106.04,1629.05,3,129127.79,24033.17,0.1429,0
REC00028,MarriedJointly,51,OH,43575.21,0.0,0.0,11168.88,8757.14,0,32406.33,3656.76,0.0839,0
